Congresista,Región,Votación,Comisiones,Bancada
Gonza Castillo Americo,Cajamarca,"10,394","[['Constitución y Reglamento', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'S'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Inteligencia', 'V'], ['Justicia y Derechos Humanos', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Relaciones Exteriores', 'A']]",PERÚ LIBRE
Gonzales Delgado Diana Carolina,Arequipa,"24,948","[['Comercio Exterior y Turismo', 'A'], ['Cultura y Patrimonio Cultural', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'V'], ['Inclusión Social y Personas con Discapacidad', 'A']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Guerra García Campos Hernando,Lima,"55,987","[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'A'], ['Comercio Exterior y Turismo', 'A'], ['Constitución y Reglamento', 'A'], ['Cultura y Patrimonio Cultural', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Justicia y Derechos Humanos', 'T'], ['Mujer y Familia', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Relaciones Exteriores', 'A'], ['Salud y Población', 'A'], ['Trabajo y Seguridad Social', 'A'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",FUERZA POPULAR
Gutiérrez Ticona Paul Silvio,Apurímac,"11,124","[['Agraria', 'T'], ['Comercio Exterior y Turismo', 'T'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'A'], ['Mujer y Familia', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",PERÚ LIBRE
Herrera Medina Noelia Rossvith,Callao,"8,619","[['Comercio Exterior y Turismo', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Mujer y Familia', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Relaciones Exteriores', 'A'], ['Transportes y Comunicaciones', 'T'], ['Vivienda y Construcción', 'T']]",RENOVACIÓN POPULAR
Huamán Coronado Raúl,Ica,"9,588","[['Comercio Exterior y Turismo', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Educación, Juventud y Deporte', 'T'], ['Salud y Población', 'T'], ['Trabajo y Seguridad Social', 'A']]",FUERZA POPULAR
Infantes Castañeda Mery Eliana,Amazonas,"2,575","[['Agraria', 'A'], ['Cultura y Patrimonio Cultural', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Mujer y Familia', 'A'], ['Salud y Población', 'A'], ['Trabajo y Seguridad Social', 'A']]",FUERZA POPULAR
Jáuregui Martínez de Aguayo María de los Milagros Jackeline,Lima,"68,003","[['Constitución y Reglamento', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Inclusión Social y Personas con Discapacidad', 'S'], ['Justicia y Derechos Humanos', 'A'], ['Mujer y Familia', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T']]",RENOVACIÓN POPULAR
Jeri Oré José Enrique,Lima,"11,654","[['Agraria', 'T'], ['Comercio Exterior y Turismo', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'T'], ['Justicia y Derechos Humanos', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A']]",SOMOS PERÚ
Jiménez Heredia David Julio,Junín,"7,278","[['Ciencia, Innovación y Tecnología', 'T'], ['Constitución y Reglamento', 'A'], ['Transportes y Comunicaciones', 'T']]",FUERZA POPULAR
